1854,Y,68,1,0
1855,Y,39,1,40
1857,Y,99,1,0
1875,Y,0,3,0
1889,Y,14,3,115
1907,Y,0,3,24
1909,Y,0,3,37
1911,Y,0,3,42
1913,Y,0,3,34
1918,N,0,6,0
1919,Y,0,6,16
1920,Y,0,6,27
1921,Y,0,6,11
1922,Y,0,6,23
1923,Y,0,6,30
1929,Y,0,3,1
1930,Y,0,3,6
1931,Y,0,3,12
1932,Y,0,5,38
1933,Y,0,5,4
1936,Y,0,6,1
1937,Y,0,6,4
1938,Y,0,6,12
1939,Y,0,6,12
1941,Y,59,6,64
1942,Y,105,6,134
1944,Y,0,6,0
1945,Y,0,6,14
1946,Y,17,6,25
1947,Y,7,3,15
1948,Y,6,3,14
1949,Y,26,3,28
1950,Y,10,3,19
1951,Y,28,3,46
1955,Y,55,3,78
1956,Y,38,3,42
1957,Y,89,3,64
1958,Y,130,3,104
1959,Y,124,3,118
1960,Y,118,3,34
1961,Y,81,3,116
1962,Y,22,3,31
1963,Y,26,3,28
1964,Y,69,3,85
1989,N,0,6,0
1990,N,0,6,0
1991,N,0,6,0
1992,Y,0,5,5
1993,Y,0,3,1
1994,Y,0,3,33
1996,Y,0,3,35
1997,Y,0,3,39
1998,Y,0,3,52
1999,Y,0,3,8
2000,Y,0,3,12
2001,Y,0,3,17
2029,Y,37,5,40
2030,Y,48,5,92
2031,Y,79,5,57
2034,Y,28,5,55
2035,Y,9,5,27
2036,Y,0,5,75
2037,Y,71,5,79
2038,Y,20,3,59
2039,Y,7,5,9
2040,Y,18,5,29
2041,Y,48,5,67
2042,Y,97,3,64
2043,Y,0,3,0
2052,Y,47,3,56
2053,Y,18,3,20
2054,Y,0,6,11
2094,Y,35,3,113
2095,Y,28,3,35
2096,Y,10,3,11
2097,Y,22,3,40
2098,Y,22,3,31
2099,Y,10,3,11
2100,Y,0,3,9
2101,Y,12,3,18
2102,Y,10,3,16
2103,Y,13,3,20
2104,Y,13,3,13
2105,Y,2,3,11
2106,Y,6,3,7
2107,Y,0,3,1
2108,Y,19,6,21
2109,Y,24,3,19
2110,Y,14,3,18
2111,Y,14,3,22
2112,Y,18,3,18
2113,Y,10,3,17
2114,Y,10,6,17
2115,Y,7,6,16
2116,Y,42,6,54
2117,Y,8,3,27
2118,Y,38,3,39
2119,Y,0,3,12
2120,Y,0,3,1
2121,Y,7,3,11
2122,Y,5,3,10
2123,Y,10,3,14
2124,Y,29,3,23
2125,Y,7,3,11
2126,Y,24,3,24
2127,Y,17,3,14
2128,Y,10,3,11
2129,Y,10,6,11
2130,Y,4,6,10
2131,Y,0,6,18
2132,Y,36,6,49
2153,Y,18,6,26
2154,Y,0,6,17
2156,Y,15,6,20
2157,Y,0,6,0
2159,Y,4,6,6
2160,Y,0,6,1
2162,Y,0,6,8
2163,Y,0,6,49
2165,Y,9,3,8
2166,Y,0,6,6
2168,Y,21,3,35
2169,Y,0,6,9
2172,Y,28,3,40
2173,Y,100,6,103
2174,Y,83,6,116
2175,Y,58,6,87
2176,Y,10,6,24
2177,Y,0,6,21
2178,Y,37,3,38
2179,Y,33,6,40
2180,Y,70,6,83
2181,Y,4,6,7
2182,Y,20,6,20
2183,Y,2,6,20
2185,Y,7,6,21
2186,Y,39,6,42
2187,Y,25,6,30
2188,Y,41,6,59
2189,Y,35,6,39
2190,Y,26,3,30
2191,Y,18,1,0
2192,Y,74,3,0
2193,Y,10,6,0
2197,Y,14,1,22
2198,Y,22,1,18
2342,Y,15,5,46
2343,Y,6,5,35
2344,Y,200,5,235
2345,Y,200,5,211
2346,Y,19,3,28
2347,Y,9,3,68
2348,Y,10,3,10
2349,Y,22,3,38
2350,Y,20,3,34
2351,Y,6,3,14
2352,Y,44,6,34
2353,Y,6,6,9
2354,Y,20,6,28
2355,Y,0,6,0
2356,Y,11,5,17
2357,Y,200,3,251
2358,Y,10,3,12
2359,Y,7,6,9
2360,Y,5,3,9
2361,Y,0,6,9
2362,Y,0,6,4
2363,Y,47,3,58
2364,Y,200,3,265
2365,Y,54,3,68
2366,Y,35,3,49
2367,Y,11,3,11
2368,Y,46,6,46
2369,Y,26,6,32
2372,Y,0,6,67
2373,Y,0,6,4
2375,Y,0,6,113
2376,Y,0,6,141
2377,Y,0,6,73
2378,Y,0,6,102
2379,Y,0,6,182
2380,Y,0,6,227
2419,Y,14,6,15
2420,Y,22,6,41
2421,Y,30,6,35
2422,Y,7,6,12
2423,Y,66,6,92
2424,Y,22,6,41
2425,Y,14,6,18
2426,Y,28,6,106
2427,Y,17,6,16
2428,Y,57,6,70
2429,Y,49,6,55
2433,Y,5,6,21
2434,Y,12,6,15
2435,Y,0,6,36
2443,N,0,3,0
2444,N,0,3,0
2456,Y,0,6,30
2457,Y,0,6,0
2458,Y,0,6,0
2459,Y,0,6,0
2460,Y,0,6,9
2461,Y,0,6,49
2462,Y,0,6,125
2463,Y,0,6,38
