ItemID_DE;ItemNoDE;EAN;ParentNo;ItemNameDE;RemarkDE/EN;Sales_Price_EUR;Is_StockItem;StockQtyEU;MSQ_EU;is_dim_weight_estimated;weight(g);length(mm);width(mm);height(mm);is_active;Überverkäufe möglich;Stückzahl teilbar;Versandgewicht(kg);Length;Breite;Höhe;TARIC-Code
11390;6,23225E+12;6232249086260;V002-TMT;Zahnriemen 2GT-6-338;;2,6;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11389;6,23283E+12;6232828983225;V002-TMT;Zahnriemen 2GT-15-336;;5,11;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11388;6,23357E+12;6233567282815;V002-TMT;Zahnriemen 2GT-10-336;;3,71;Y;0;0;1;10;80;73;10;Y;Y;N;0,01;8;7,3;1;4010390090
11387;6,2386E+12;6238604013117;V002-TMT;Zahnriemen 2GT-6-334;;2,5;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11386;6,23684E+12;6236839993914;V002-TMT;Zahnriemen 2GT-15-330;;5,11;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11385;6,23956E+12;6239562586989;V002-TMT;Zahnriemen 2GT-10-330;;3,52;Y;0;0;1;10;80;73;10;Y;Y;N;0,01;8;7,3;1;4010390090
11384;6,23846E+12;6238462507582;V002-TMT;Zahnriemen 2GT-6-328;;2,5;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11383;6,23089E+12;6230892805979;V002-TMT;Zahnriemen 2GT-6-326;;2,5;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11382;6,2392E+12;6239203889448;V002-TMT;Zahnriemen 2GT-6-324;;2,5;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11381;6,23763E+12;6237626527411;V002-TMT;Zahnriemen 2GT-6-322;;2,4;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11380;6,23095E+12;6230954059944;V002-TMT;Zahnriemen 2GT-15-320;;4,45;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11379;6,2305E+12;6230502896816;V002-TMT;Zahnriemen 2GT-10-312;;3,38;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
11378;6,23996E+12;6239958691808;V002-TMT;Zahnriemen 2GT-6-312;;2,45;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11377;6,23464E+12;6234639271775;V002-TMT;Zahnriemen 2GT-10-310;;3,38;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
